Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
FAM134A	7.68728490210994
PCNP	8.33276894821015
PURA	4.42894244585205
DNPEP	7.12431918556531
ERBB2	4.70032361195041
CREB1	6.16626148030922
NEO1	5.49890226986977
DDX3Y	3.34546345261573
RPS3A	12.8769008719925
MXRA7	9.09181596667361
LGALS3	10.2597837713489
GLT8D1	8.05594848820753
TMPRSS3	7.98274278723808
UPB1	3.29504848191523
LAT	3.84661652512391
CLDN14	3.68537599706729
DHX38	5.10662539632806
KCNA3	3.32381248148283
BTBD1	7.56115402057739
TARS2	5.30105766688539
SKIV2L2	7.3124503681305
ABCF1	7.98162929366964
CDT1	3.40846735677106
ZHX2	6.28253362635727
FCF1	4.6959465744351
LRRC49	5.65917562559876
GUCY1B2	3.43824793992719
CD28	3.28747200427742
SMARCA4	6.53667562768035
SEPT2	9.53441830544883
SOHLH2	3.83083160977842
MCOLN3	4.43655232258406
LRP8	3.82003284586136
TAGLN3	3.84279208609364
MASP2	3.47886785281433
GPATCH3	4.1083786480023
TTRAP	9.11684158514049
AGL	7.17037193422624
NFE2L3	5.88339197638559
PSD4	4.25309409613427
PALMD	6.71367283610033
CCNB1IP1	8.89619564866303
TMEM43	7.7121143733017
OBFC1	6.68921997701717
STAT5B	4.08860241347217
C14orf79	4.13252373376367
ENPEP	4.51358062917417
SSB	8.62799167617796
SCT	3.04104062819627
TIMM23	7.71014965364212
SKI	4.0982999191928
SLC22A13	3.15859720790766
AKAP3	3.71049925886695
OAS2	6.50828043395732
KIAA0423	5.20545470821263
SEC61G	9.7992443631517
