Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
RPL27	8.73548175615915
EPN1	3.98279221722294
MAGI1	2.93638606141067
GBX2	3.09413440075339
SLC35A1	7.6813554205929
GAL	3.7765524089588
SLC14A2	3.74587308819778
RDH11	6.24594070586998
ZNF518	4.19013211588794
PCYT1B	3.17210058415232
AUH	7.81070802547433
EIF3H	10.3533467533098
KIF1B	7.94959716156563
MBD2	4.96143247188029
AMOTL2	7.15215639063525
C6orf120	6.03097723203098
PIGT	7.9294002832907
PSRC1	6.60123397164212
PLA2G10	4.01629040345735
ALAS1	8.00414604196257
FOXO1	5.28784917549391
C17orf62	6.68055043111795
KIF5C	4.97999039932711
DUSP10	5.82339707739883
CRLF3	7.72447419654694
CLCNKB	3.48547876499590
PSMA5	9.41216937624882
FARS2	6.3440790050842
CCDC28A	8.23546823450024
AMPD3	4.51815342987397
PIAS1	6.75696335459585
ADCYAP1R1	3.69594190314085
TMEM134	7.9543135645028
CDH20	3.16127630152876
FBXO7	7.60798087178687
FLJ14213	4.16435363809716
ZNF3	5.87399468049349
LRRFIP1	7.18568198667291
TMEM49	10.0732294201486
CNOT2	6.90575864339786
CBX2	2.92094431188252
ZC3H14	7.02578183292053
ALDH5A1	6.64037557850106
HNT	3.07737219368759
SERPINA4	3.3159838402072
FLJ20920	5.51473487905351
CRTAP	5.89744518351436
DDX50	8.47724268756884
STYXL1	8.05625402489954
TK2	4.90448790161287
BLVRB	6.13857007850815
STMN1	7.20542040225015
GUCA2A	3.30918461141124
DPP6	3.1193160500991
GALNT10	4.41452137302348
STK39	4.89247222260229
MMP24	5.54107947700343
CKS2	10.1029297799137
RHO	3.75133892307250
BANF1	9.78955414127013
CR1	2.8953115089255
RPS6KA2	5.62863287455314
HMBS	7.30965772626676
C20orf112	4.01450000997063
SLC25A24	7.12086575643352
MRPL22	8.80082595936769
SLC25A15	6.69510964057826
GADD45B	4.726723322202
TDP1	6.90993701912627
ZNF287	3.52404976592557
DAAM2	4.34257794613014
C11orf57	5.66587618380647
RFK	6.78949533799836
ZFYVE9	4.12356588959093
TCTN3	7.19840202494953
STCH	5.70748257249048
LOC283871	4.04708063295734
NDUFB3	7.14472467157647
DEFB4	3.86020589650918
FPR1	3.8370069869254
FMNL1	4.6122876439451
SEPT7	9.45536372132303
PTCD2	5.23956225795084
GNLY	6.30323461949878
GRAMD1C	6.14629939694068
ZNF165	5.2651646146664
TR2IT1	5.0379684845245
ARMCX3	6.25862971969558
NDE1	7.44345920928503
MAGEF1	7.152213189351
ITGA10	3.89884408360876
ARHGDIB	8.5717359812038
FSHB	3.66015022552982
ANXA2	11.7675667970061
HLCS	4.42517312388818
MCF2L	4.17678202410346
AK1	5.34871113734426
FH	7.65258515966646
LGALS2	3.35904695871726
SYNPO2L	2.69606791662006
KIAA1045	3.46323398666477
C1orf183	4.94618380967049
MAGEA8	2.94035159702181
DGCR8	5.54628571522438
GSR	6.61268315354276
NEU2	3.51087992044678
HIST1H4B	3.57069374223253
CACNA1C	2.99191769379922
FAM20B	7.36230130279374
HES2	3.40886678349258
PDCD6	9.91141155551459
INTS7	6.38587174577311
AMPH	3.86311094257721
UCKL1	7.68389317298607
ASB4	3.08734192226291
C10orf97	4.69007312546392
ALDH1L1	3.53730882308099
CCL23	3.37514047901193
OBSL1	5.19761116210362
SLC12A7	8.78260265629014
THAP4	5.63844541551512
RBM4B	6.98333331258706
OGFRL1	4.95552948070046
KIAA0831	6.86288334234414
C12orf11	7.08532932705874
PPP1R15A	4.71189704318737
KIAA0240	6.80477484210994
CD1B	3.43850634304105
FCGR2A	5.78044044548998
MDC1	7.02545405884773
MAN1A1	4.07250800630909
KRT9	3.48737736367805
HTR1A	3.50004217339714
OCEL1	6.6195390559203
ATP11B	5.32898507258979
NLGN4X	3.08539011536878
FBXO34	8.13793125936197
ALOX12	3.39246207750479
RB1CC1	6.49424218042075
PCDH12	4.70852760098369
RPE	4.54468786370432
EIF4E	7.15321678030165
CSDC2	4.03825222786909
ABHD5	5.60564408922772
TMBIM1	5.64566645738459
PET112L	5.81163153482218
P2RXL1	3.37444467149944
F2RL2	3.13084090831563
TRMT1	6.94510836632236
IMPG2	3.58277586220357
LRRC32	5.45778802956126
BGLAP	5.99774888355205
HTR4	3.54054785078767
MRAS	4.62859260638079
TRAF6	5.84924721354006
AXL	5.07745564836588
ATP2C2	3.83507477149976
LMNB1	6.65186531441679
TELO2	5.09313447064509
PNPLA3	3.48682041722578
CSNK1E	5.91943820992736
SRP14	9.92976741288135
KCNQ4	3.31971263400017
PIK3C2B	6.81606744204142
C15orf15	8.10352361675354
TUBB2B	2.87444466490291
USP15	6.12269673537945
C12orf41	8.14983610203742
CEND1	3.81765832690914
RNF31	6.02512553423578
TCEAL2	3.22394395129427
PTGER2	4.06578671570902
UBN1	7.78204918041781
SLC5A7	3.46174221479701
SLC31A1	6.122410166084
ADAM29	3.80273801427916
ST7L	3.97387013840253
