Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
NDRG1	6.00245760144668
SESN1	5.3240887795531
GBE1	6.36772294456515
MRPL46	7.97921984961771
CLASP1	4.74283191491467
FARP2	4.12596140507025
ACOT11	3.81306718107556
LDHAL6B	3.01784774547347
MAPKAPK3	5.88255405871276
NCAM2	3.26558171248065
AFAP1	3.73623324377613
PRKD2	5.16184829685144
OR2H2	3.50500890268719
ZFP36L1	5.58568017776994
DZIP1	4.07137250425759
GPR161	4.62050119402724
RNF146	5.20530957350119
NKX3-1	4.15990135525606
CCNB2	7.24060982532119
ZNF10	3.66550973966026
WDR74	5.68490246793952
FAM134A	6.79446326460982
PCNP	8.9877781970186
PURA	4.90578590657491
DNPEP	7.4884830117395
ERBB2	4.16627282166459
CREB1	5.69346462450688
NEO1	5.87279416067164
DDX3Y	3.28547093972887
RPS3A	13.0590271964475
MXRA7	8.86656610921467
LGALS3	11.2821980573928
GLT8D1	7.55222816830214
TMPRSS3	8.48056600976793
UPB1	3.39141955779792
LAT	4.12812006355489
CLDN14	3.79777371756207
DHX38	4.33547472702173
KCNA3	3.27799266202603
BTBD1	8.18918179429499
TARS2	5.15827514783843
SKIV2L2	7.29876837466998
ABCF1	5.89875045992135
CDT1	3.25685020344421
ZHX2	5.1094677099829
FCF1	4.93997451149017
LRRC49	5.85366668179276
GUCY1B2	3.74682857909701
CD28	3.35212871614222
SMARCA4	4.44423869088301
SEPT2	9.36760711318983
SOHLH2	3.39033298397888
MCOLN3	3.53409113087496
LRP8	4.64189408880326
TAGLN3	3.90037754016472
MASP2	3.79936908102436
GPATCH3	4.45611097387602
TTRAP	9.2585092462069
AGL	6.92191528272691
NFE2L3	4.55713189373241
PSD4	3.91541532849039
PALMD	4.4807497777465
CCNB1IP1	9.76853599747718
TMEM43	6.46464296289934
OBFC1	7.13318141717389
STAT5B	4.00994254645478
C14orf79	4.49912350835144
ENPEP	4.51045693812226
SSB	8.07854256315642
SCT	3.25047495110882
TIMM23	7.30329831496714
SKI	3.71085403311472
SLC22A13	3.18909656350375
AKAP3	3.74160256022304
OAS2	4.69904858114308
KIAA0423	4.7095501031791
SEC61G	10.1038333267886
