Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
CLIC4	7.15953031381067
ACR	3.97142041185823
KLK7	7.99027634071584
ALOX5AP	5.1644361998895
LRP1	4.31236145290858
TNK1	4.58408523719089
TAS2R9	3.25716178807299
ZNF16	6.5368890154693
POLR1B	4.83307740877281
SLC8A2	3.78498881964129
OLFM4	3.08968500629331
TACC1	4.68453108755417
SAMHD1	5.26389856044073
ATP13A2	4.81884339376389
KRT4	3.66694159543725
PAX6	3.65016758352516
SCG2	3.21386350446159
SLC17A6	3.53539618033564
TUBB4	3.67966414443751
PADI4	3.03826328167520
FMO3	3.31746285123293
NLK	3.84532034343837
POU4F3	3.36814220570811
MDM2	3.54772662322844
CAPNS1	9.68557939465744
SDF4	8.25489208513703
ITGBL1	3.21955334091385
TAP2	3.94713607376462
OR2C1	3.35829035109913
KLHDC3	7.62377836474563
EFHD2	6.01529338656326
GALR3	3.8540587336957
NBEA	3.00437701930779
ABCA6	3.02039775933232
ABBA-1	3.97261604191489
GNAI1	7.40595412061138
CLDN3	7.9914379404298
AKT2	3.42502966271085
EGFR	3.87667206511292
VPS4B	7.37188363564508
RBM16	8.71993292610864
GALNT6	7.93727152714346
ZDHHC3	4.68538818889794
SLC25A4	6.35765012367579
CYB5B	6.30463986568569
NDRG1	7.91542143778473
SESN1	6.08505372125722
GBE1	8.08643851322479
MRPL46	6.04913313194539
CLASP1	6.48169055941291
FARP2	4.27312571270935
ACOT11	3.95289566858252
LDHAL6B	2.98325667192288
MAPKAPK3	6.20632207964385
NCAM2	3.27632762785185
AFAP1	3.73753484760839
PRKD2	6.00721602965497
OR2H2	3.37780600434858
ZFP36L1	7.38992537334672
DZIP1	4.53067732374577
GPR161	4.90446456467453
RNF146	6.68893932262572
NKX3-1	3.8862518699698
CCNB2	8.15435427754756
ZNF10	4.62892806600306
WDR74	6.18542611178691
FAM134A	8.60409540556485
PCNP	9.06226621754066
PURA	4.80825514229708
DNPEP	8.41123968550561
ERBB2	5.66906854695391
CREB1	6.58049769410662
NEO1	6.62107684956582
DDX3Y	3.27183030492413
RPS3A	12.9194072934696
MXRA7	9.39373622056414
LGALS3	10.7385630817560
GLT8D1	8.98058998335456
TMPRSS3	6.22850429947389
UPB1	3.33901296472187
LAT	4.00222356908907
CLDN14	3.62704387639865
DHX38	5.12788477908484
KCNA3	3.21483683349561
BTBD1	8.87413562064781
TARS2	5.76351875392666
SKIV2L2	8.64783222799269
ABCF1	8.28168840328476
CDT1	3.93473397384723
ZHX2	7.86398999138082
FCF1	5.43760972963279
LRRC49	4.4188337896748
GUCY1B2	3.35045877641276
CD28	3.2234872404768
SMARCA4	7.09117111605862
SEPT2	9.9209943610482
SOHLH2	3.38467231029326
MCOLN3	3.70868103830471
LRP8	5.48113276815541
TAGLN3	4.00060559577399
MASP2	3.68882922207119
GPATCH3	4.69586365671379
TTRAP	8.32603963282766
AGL	7.67205116711543
NFE2L3	6.11395243397482
PSD4	3.98261720309257
PALMD	6.7372636437072
CCNB1IP1	9.90267982477969
TMEM43	7.22150201355744
OBFC1	6.04262292457469
STAT5B	4.17033357436114
C14orf79	4.55637741596363
ENPEP	4.57154238357277
SSB	8.78772066031831
SCT	2.97751323322315
TIMM23	7.35943456471097
SKI	3.65858741168284
SLC22A13	3.11412946120866
AKAP3	3.25190362676457
OAS2	5.30247911895249
