Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
GBE1	6.32026096409606
MRPL46	6.20535820196826
CLASP1	5.90627784036591
FARP2	4.68200978714701
ACOT11	4.08509879451294
LDHAL6B	2.94990532607771
MAPKAPK3	6.01002657833647
NCAM2	3.37580149030637
AFAP1	4.10162709402843
PRKD2	7.37793610744538
OR2H2	3.57865439415933
ZFP36L1	6.63123146452345
DZIP1	3.96219103926189
GPR161	3.94806373035711
RNF146	5.44482722699911
NKX3-1	4.23518874939153
CCNB2	8.9412855953026
ZNF10	3.50673577598834
WDR74	6.06452372026768
FAM134A	7.98143706593733
PCNP	8.17891296428004
PURA	5.66912500644274
DNPEP	8.35534343359273
ERBB2	5.09168298478211
CREB1	6.23115671296202
NEO1	6.27714065779065
DDX3Y	3.33111034028376
RPS3A	12.6667311111436
MXRA7	8.84476408358816
LGALS3	9.6756735709596
GLT8D1	6.29173209078914
TMPRSS3	6.03559333844195
UPB1	3.56746350916137
LAT	4.19257004855999
CLDN14	3.81743251736294
DHX38	5.2890440035101
KCNA3	3.50930469644031
BTBD1	8.72584530637383
TARS2	5.46684680800023
SKIV2L2	7.17686889833561
ABCF1	8.02370157001573
CDT1	3.74413384504706
ZHX2	8.0778563917623
FCF1	5.22492610394372
LRRC49	4.33538503866312
GUCY1B2	3.93893013259613
CD28	3.63484793316445
SMARCA4	6.03629587819239
SEPT2	9.31899907956965
SOHLH2	3.29461752393946
MCOLN3	3.80909207985993
LRP8	7.40417967944191
TAGLN3	3.91260230645663
MASP2	3.93506871642782
GPATCH3	4.18657386693831
TTRAP	7.39318094306774
AGL	7.81526621000757
NFE2L3	5.85408508870319
PSD4	4.69668497955952
PALMD	5.43810716944531
CCNB1IP1	7.29568557036562
TMEM43	7.02512502719553
OBFC1	5.35189129194826
STAT5B	4.5104715465999
C14orf79	4.06241643239052
ENPEP	4.04917501982033
SSB	9.05701849290544
SCT	3.24969969239688
TIMM23	6.48102606354214
SKI	3.81267969050337
SLC22A13	3.2442809317131
AKAP3	4.38821099359804
OAS2	5.50724346471323
KIAA0423	5.50814258528699
SEC61G	8.90762869389043
