Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
DDX3Y	3.24819831544298
RPS3A	12.5993118770288
MXRA7	9.8247440720068
LGALS3	10.8475409467210
GLT8D1	6.92122305728233
TMPRSS3	7.40669094628815
UPB1	3.4633304144726
LAT	3.91225399377448
CLDN14	3.87094110203571
DHX38	5.58520864422317
KCNA3	3.02264194320351
BTBD1	7.89921750326808
TARS2	5.32262796328477
SKIV2L2	7.42536357217833
ABCF1	7.31566480693671
CDT1	3.39114641736593
ZHX2	8.00089454834112
FCF1	5.00985372695024
LRRC49	4.2180591314274
GUCY1B2	3.48912852141406
CD28	3.26610666935221
SMARCA4	7.08764347242516
SEPT2	9.88279182125864
SOHLH2	3.40449194292607
MCOLN3	5.40283603267324
LRP8	4.31711280876853
TAGLN3	4.14705567389304
MASP2	3.54523434892835
GPATCH3	4.00662638499347
TTRAP	7.26285071666918
AGL	5.84264526913295
NFE2L3	4.00317628815051
PSD4	4.0695597399392
PALMD	4.05204990845517
CCNB1IP1	8.03083448177332
TMEM43	5.92333056870528
OBFC1	6.9040573937964
STAT5B	4.53259967645893
C14orf79	4.5133450897128
ENPEP	4.13838243128614
SSB	8.4648774924049
SCT	3.15125752802029
TIMM23	7.23050161589396
SKI	3.35852994396790
SLC22A13	3.14125009667733
AKAP3	4.25713185584346
OAS2	4.7461505738243
KIAA0423	5.79700897892465
SEC61G	9.56545007205833
