Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
KLHDC3	8.60149515069436
EFHD2	4.7692304077957
GALR3	3.65098203395683
NBEA	4.13565026840091
ABCA6	3.24966627792891
ABBA-1	3.89198612309727
GNAI1	5.17683055868892
CLDN3	7.10612167889485
AKT2	3.35699228967955
EGFR	4.09257505208973
VPS4B	5.89777576709648
RBM16	7.63805425450919
GALNT6	5.23536757934824
ZDHHC3	5.49394521137368
SLC25A4	5.80488638358734
CYB5B	5.38955703366254
NDRG1	7.31705952198623
SESN1	5.25173954620868
GBE1	6.59020200009157
MRPL46	6.27496956900862
CLASP1	5.73300187019524
FARP2	4.14360290684681
ACOT11	3.50567589178992
LDHAL6B	3.10732596285107
MAPKAPK3	5.35220201061083
NCAM2	3.02420885249772
AFAP1	4.35711313882144
PRKD2	5.83857342185542
OR2H2	3.33879349827611
ZFP36L1	7.31665980837093
DZIP1	5.31576263841043
GPR161	4.68516529740258
RNF146	5.50663324838338
NKX3-1	3.90838739793216
CCNB2	8.02439791717342
ZNF10	4.60906824221424
WDR74	5.70222395304028
FAM134A	7.96159991902843
PCNP	9.04801168059529
PURA	5.05695798521802
DNPEP	6.62619763334711
ERBB2	4.87681536634104
CREB1	6.18330250533031
NEO1	4.97047649974062
DDX3Y	3.27555790082587
RPS3A	12.8459373398796
MXRA7	9.17159784281135
LGALS3	9.82098438342911
GLT8D1	8.08916919457902
TMPRSS3	8.37450583006362
UPB1	3.42802273773114
LAT	4.17463696079698
CLDN14	3.77846710683538
DHX38	4.57035604535031
KCNA3	3.47120336024277
BTBD1	7.43241051260262
TARS2	5.79496888134096
SKIV2L2	7.6067870920446
ABCF1	8.13254036384533
CDT1	3.0726692601981
ZHX2	6.31905698201727
FCF1	4.8415209673367
LRRC49	5.50145187713399
GUCY1B2	3.52401783246332
CD28	3.2339614714994
SMARCA4	6.75906935314914
SEPT2	9.75698757543998
SOHLH2	3.73628341850862
MCOLN3	4.68359970178708
LRP8	4.16117387197502
TAGLN3	3.66172950357408
MASP2	3.44942701881625
GPATCH3	4.39938237411388
TTRAP	8.99900800706754
AGL	6.41228271849803
NFE2L3	4.29115636306235
PSD4	3.7723225285644
PALMD	5.50564754648384
CCNB1IP1	9.30170229342726
TMEM43	7.45488223501803
OBFC1	6.71257695694772
STAT5B	3.992313865193
C14orf79	4.34906723462495
ENPEP	4.08981623324454
SSB	8.72071780956608
SCT	3.19977911520269
TIMM23	7.08711608255698
SKI	3.58241996320443
SLC22A13	2.95221664187068
AKAP3	3.70309997871356
OAS2	4.54587522689155
KIAA0423	5.62308520293551
SEC61G	8.64771224880247
