Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F02_298040
Composite Element REF	Signal
LMNB1	5.37812654239887
TELO2	4.7625433373403
PNPLA3	4.21587999441284
CSNK1E	6.2363060731171
SRP14	10.4023227658783
KCNQ4	3.52832771602812
PIK3C2B	5.65962925791782
C15orf15	7.3120543624055
TUBB2B	3.24242604766123
USP15	4.78310245201835
C12orf41	6.83047381419174
CEND1	3.68888896760081
RNF31	4.47196985889161
TCEAL2	3.86045286452903
PTGER2	5.18144407583501
UBN1	6.4115046521674
SLC5A7	3.45404797259364
SLC31A1	6.20469859467049
ADAM29	3.35732486896717
ST7L	4.63602813401358
GFOD1	7.45921534206087
CTNNA1	7.94662816477453
HRBL	4.22700229128131
CBX4	3.53966385608466
NTRK2	3.62004527113246
FOXN3	5.40427090947074
MFGE8	6.24859096045591
PFKFB2	4.02425349970049
TAS2R4	3.51640723340626
SH3TC2	3.56146614233162
IL10	3.44158888615291
PXMP4	6.77145460973097
RNF167	6.2331895760355
PRMT5	5.50285777736167
TSKU	5.19288815494045
ATPIF1	8.55795992690873
ETV3	3.40336160035503
PAK7	3.31383311148086
PDLIM1	7.57701638530402
CEP63	4.63894040258779
WDFY3	4.74917402325504
RNF126	4.63698077943867
DPM1	7.69104764141247
CLIC4	5.67277115426146
ACR	3.96553383417093
KLK7	8.08354132978711
ALOX5AP	5.145795821043
LRP1	4.63323838177448
TNK1	5.28567835247358
TAS2R9	3.13869443407709
ZNF16	5.55186160195665
POLR1B	5.52668560545534
SLC8A2	3.95112851985955
OLFM4	6.96141348271198
TACC1	4.47879096975266
SAMHD1	6.12068433393446
ATP13A2	4.76077049580011
KRT4	5.2486005146443
PAX6	6.64339008277973
SCG2	3.84875511255502
SLC17A6	3.42002252209477
TUBB4	3.82838677537805
PADI4	2.98531993798897
FMO3	3.39402091215296
NLK	3.53133886024956
POU4F3	3.22367135607199
MDM2	3.64109092208642
CAPNS1	9.83690030858615
SDF4	6.72577261689655
ITGBL1	3.65820200153846
TAP2	4.51184239482172
OR2C1	3.22551489823893
KLHDC3	5.98051276100964
EFHD2	5.85552455844164
GALR3	3.68346070772848
NBEA	2.99223830532238
ABCA6	3.12908991172914
ABBA-1	4.26802978338973
GNAI1	4.81540841231536
CLDN3	8.6915123426583
AKT2	3.61948364462039
EGFR	4.21508132256758
VPS4B	5.68427852424142
RBM16	7.21595047907599
GALNT6	4.74664163153458
ZDHHC3	5.30015325290227
SLC25A4	5.40497664259523
CYB5B	4.59939179315381
NDRG1	8.96690787058986
SESN1	4.37704420918181
GBE1	6.76027051723416
MRPL46	5.68172365221804
CLASP1	5.62243281984059
FARP2	4.35991105267807
ACOT11	3.97438526697843
LDHAL6B	3.11498743353623
MAPKAPK3	5.40985328090363
NCAM2	3.28392470483838
AFAP1	4.29844984634465
PRKD2	5.78217389351345
OR2H2	3.39944991677350
ZFP36L1	7.19978780024261
DZIP1	3.61520596735649
GPR161	4.20769729336936
RNF146	3.42962255299767
NKX3-1	4.06653678928970
CCNB2	7.09198362903951
ZNF10	3.76382244254068
WDR74	5.56833098603739
FAM134A	8.31210340153995
PCNP	7.79803368386107
PURA	5.41550981530219
DNPEP	7.38123518750799
ERBB2	5.88068921663691
CREB1	4.91552027710102
NEO1	6.10708342999406
DDX3Y	3.34255692319921
RPS3A	12.2320696887022
MXRA7	9.8075298423779
LGALS3	10.9527525317033
GLT8D1	5.79322960953586
TMPRSS3	8.83718672401024
UPB1	3.5801606740352
LAT	3.75699856627713
CLDN14	3.49692970388563
DHX38	5.00573538474339
KCNA3	3.4697932044839
BTBD1	7.09981040687345
TARS2	5.4684108803453
SKIV2L2	6.11910957123715
ABCF1	7.82417719747214
CDT1	3.40919551823871
ZHX2	5.70071740370818
FCF1	4.66884128057313
LRRC49	3.71305418528583
GUCY1B2	3.67234775210409
CD28	3.41936783739441
SMARCA4	7.3651060074671
SEPT2	7.49550044560788
SOHLH2	3.18984898492152
MCOLN3	3.94251199970365
LRP8	4.44724179239846
TAGLN3	3.61570506270676
MASP2	3.62474738443804
GPATCH3	4.62114472308264
TTRAP	7.05958525125577
AGL	6.43645967997717
NFE2L3	4.49154878488775
PSD4	3.93009482521297
PALMD	5.52572032317637
CCNB1IP1	8.08169553496743
TMEM43	6.80557975562671
OBFC1	5.51994801104954
STAT5B	4.13767896665535
C14orf79	4.86205348412569
ENPEP	3.95223868570966
SSB	7.04571734098945
SCT	3.13832852311666
