Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
ERBB2	5.35956244781805
CREB1	6.15843510818944
NEO1	6.89250177617325
DDX3Y	3.39463238371980
RPS3A	12.8358739450173
MXRA7	9.36088967142528
LGALS3	10.1380295696663
GLT8D1	7.03736915712788
TMPRSS3	5.45410609918039
UPB1	3.24784438006601
LAT	3.71191667773619
CLDN14	3.67976174100365
DHX38	4.25741575531927
KCNA3	3.25688014151782
BTBD1	7.49493149418215
TARS2	5.29669892256527
SKIV2L2	7.05261066818812
ABCF1	8.50915377400571
CDT1	3.3980074938034
ZHX2	7.5326204825779
FCF1	4.83454714380164
LRRC49	4.13611044857444
GUCY1B2	3.7067094213225
CD28	3.66355571554380
SMARCA4	6.13062586130185
SEPT2	9.85040509860865
SOHLH2	3.13769209821919
MCOLN3	3.72711392257468
LRP8	4.52491528817394
TAGLN3	3.83703923920243
MASP2	3.75372019783074
GPATCH3	4.33401202919861
TTRAP	8.49253976280502
AGL	6.33402185273859
NFE2L3	4.29342477889885
PSD4	3.73163651248315
PALMD	5.15396573093654
CCNB1IP1	8.52091500444474
TMEM43	6.3221670621867
OBFC1	6.53922272066465
STAT5B	4.06536485388354
C14orf79	4.2452307686822
ENPEP	4.78779298438309
SSB	8.42879910349946
SCT	2.9304212608554
TIMM23	6.39123506582427
SKI	3.57217411254079
SLC22A13	3.20939193397744
AKAP3	3.93937511286494
OAS2	5.49806507777515
KIAA0423	5.76187328750603
SEC61G	9.78145787162854
CAPN11	3.12072435323851
