Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
STCH	5.10818192637849
LOC283871	3.60957104306726
NDUFB3	7.36404833435932
DEFB4	4.31990471102001
FPR1	4.01193783536890
FMNL1	4.09376216733056
SEPT7	9.86340798865714
PTCD2	4.41378931134150
GNLY	3.96782765284398
GRAMD1C	4.52373578265712
ZNF165	4.2224043126593
TR2IT1	3.84314866155102
ARMCX3	7.18404765976353
NDE1	6.35193495290449
MAGEF1	6.69819054945556
ITGA10	3.98504105579286
ARHGDIB	7.7331547959051
FSHB	3.87155156420896
ANXA2	11.2836815783653
HLCS	3.67413794670798
MCF2L	4.05896941446699
AK1	5.56817022255993
FH	6.39330626251084
LGALS2	4.26707169101760
SYNPO2L	3.14317610220827
KIAA1045	3.46109582569827
C1orf183	5.16430590970147
MAGEA8	3.20109624793112
DGCR8	4.88444872781637
GSR	3.99052928443234
NEU2	3.72782408914111
HIST1H4B	3.57789046725788
CACNA1C	3.24675364363672
FAM20B	5.72122657087746
HES2	3.1577687980224
PDCD6	7.52068245766579
INTS7	3.99824445129743
AMPH	3.91378340317544
UCKL1	7.41794211204753
ASB4	3.05581497135178
C10orf97	4.68540241257015
ALDH1L1	3.9135193773235
CCL23	3.40383953032271
OBSL1	4.57638319808043
SLC12A7	7.41149547160841
THAP4	4.88400343766107
RBM4B	4.86994093913466
OGFRL1	4.0461276631742
KIAA0831	5.11959421147252
C12orf11	5.59039333849461
PPP1R15A	4.45431824762612
KIAA0240	5.01948485473682
CD1B	3.06097952703616
FCGR2A	5.22360875940592
MDC1	4.98479244898899
MAN1A1	3.71754538022451
KRT9	3.79886025924897
HTR1A	3.40393845088909
OCEL1	5.50376654821792
ATP11B	5.70812782959515
NLGN4X	4.08914817671625
FBXO34	6.31428534037803
ALOX12	3.86816005868723
RB1CC1	6.490488208071
PCDH12	4.76265859753193
RPE	3.91271632129991
EIF4E	6.12946760639921
CSDC2	4.07956111794409
ABHD5	3.84887610055431
TMBIM1	6.01145420134342
PET112L	4.33498109934229
P2RXL1	3.59897218410197
F2RL2	3.53889355618995
TRMT1	5.39134075494441
IMPG2	3.61625099604654
LRRC32	5.90901043197842
BGLAP	4.44363625747935
HTR4	3.48896481210309
MRAS	5.16066515382684
TRAF6	4.37747242093544
AXL	4.94646994756676
ATP2C2	3.77559139374254
LMNB1	5.5816138989561
TELO2	4.68943861706013
PNPLA3	3.67078092545537
CSNK1E	6.40054736775227
SRP14	10.1279044531695
KCNQ4	3.61914295828907
PIK3C2B	6.49727040988171
C15orf15	6.51977120839313
TUBB2B	3.27540430399419
USP15	5.00623926221436
C12orf41	6.7117515082008
CEND1	3.92494322148424
RNF31	3.96498364152358
TCEAL2	4.60726980281031
PTGER2	3.78736875101103
UBN1	6.21659815482452
SLC5A7	3.37237954636959
SLC31A1	6.02736676907737
ADAM29	3.42258786762092
ST7L	4.26599897579191
GFOD1	5.72926723518164
CTNNA1	8.84192573632912
HRBL	4.39656075295142
CBX4	3.81798400029459
NTRK2	3.80316051260321
FOXN3	5.12890212828775
MFGE8	5.9917642800209
PFKFB2	3.79702085684715
TAS2R4	3.82070758588374
SH3TC2	3.38260740483906
IL10	3.42471540726775
PXMP4	5.86113917002152
RNF167	5.94254331983579
PRMT5	4.76052687306777
TSKU	5.36778745421049
ATPIF1	8.4522403605079
ETV3	3.61033268925465
PAK7	3.12198004734340
PDLIM1	7.81755655109546
