Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
ARHGDIB	7.89619971454654
FSHB	3.94989838174867
ANXA2	10.7079910735113
HLCS	4.03772958764965
MCF2L	4.22637779355158
AK1	6.40728345586659
FH	7.52800535931941
LGALS2	3.91220994615006
SYNPO2L	2.88918689301518
KIAA1045	3.51895204392229
C1orf183	4.43501538915352
MAGEA8	3.29619618715155
DGCR8	4.72238105211606
GSR	6.43915608072054
NEU2	3.39117959560726
HIST1H4B	3.4842049628188
CACNA1C	3.21061249055748
FAM20B	6.31467686246062
HES2	3.31794636641714
PDCD6	8.84242669419663
INTS7	5.77405649968058
AMPH	5.03074003663405
UCKL1	6.33280568134175
ASB4	3.14639263245026
C10orf97	4.82340018744567
ALDH1L1	3.71852420117699
CCL23	3.29045019625117
OBSL1	4.51996732128906
SLC12A7	7.50366720581718
THAP4	4.48896750806554
RBM4B	4.62426189599711
OGFRL1	4.60720364428953
KIAA0831	5.54480069048825
C12orf11	7.41925324988198
PPP1R15A	4.0661158038858
KIAA0240	5.37419603059834
CD1B	3.54469764944883
FCGR2A	5.53691047105064
MDC1	5.22738693787053
MAN1A1	3.79854922424229
KRT9	3.96341709516464
HTR1A	3.51179921366710
OCEL1	5.35175100196943
ATP11B	5.63916447724053
NLGN4X	5.98469016104939
FBXO34	7.15837069468976
ALOX12	3.32126987033861
RB1CC1	6.44647491213391
PCDH12	4.70753575814839
RPE	5.15820117173642
EIF4E	6.39256309136203
CSDC2	3.99112891797247
ABHD5	5.62790921093795
TMBIM1	5.5818968080287
PET112L	4.73761457949119
P2RXL1	3.72628895515692
F2RL2	3.17376175821999
TRMT1	4.79979602468653
IMPG2	3.6707202092091
LRRC32	4.44079720134603
BGLAP	4.22153402172447
HTR4	3.61122318918574
MRAS	5.11561982367746
TRAF6	4.35270123011172
AXL	4.69749692678896
ATP2C2	3.62878181252877
LMNB1	6.08162939009287
TELO2	4.20472635170005
PNPLA3	3.7181506087366
CSNK1E	6.43997909297316
SRP14	10.1458760319361
KCNQ4	3.27344931184989
PIK3C2B	6.52372860509783
C15orf15	7.44625693675386
TUBB2B	4.51962209677399
USP15	5.0514051220121
C12orf41	6.68154190723628
CEND1	3.78562607346805
RNF31	4.13006885204682
TCEAL2	6.82075188874402
PTGER2	4.25345294988952
UBN1	5.71614740712993
SLC5A7	3.12064099161782
SLC31A1	6.80938681683535
ADAM29	3.38853645426037
ST7L	4.5399127635378
GFOD1	5.19009292109125
CTNNA1	9.15710418507336
HRBL	3.80233097401585
CBX4	3.5815953964707
NTRK2	3.83218675357115
FOXN3	4.70544951640265
MFGE8	4.86929759748341
PFKFB2	3.45484308680636
TAS2R4	3.45386240380015
SH3TC2	3.24540415093033
IL10	3.48573781198977
PXMP4	6.26535751056516
RNF167	6.15892951701859
PRMT5	7.02150580076136
TSKU	4.82062822680984
ATPIF1	8.66178592487229
ETV3	3.22627664916278
PAK7	3.15505244021833
PDLIM1	7.16056129605213
CEP63	5.33165462961765
WDFY3	4.32835320954591
RNF126	4.68778871975061
DPM1	8.65479694410401
CLIC4	6.40371941265882
ACR	3.94170603310063
KLK7	10.0243392387495
ALOX5AP	7.79180755443265
LRP1	4.56785270266142
TNK1	4.39238333157676
TAS2R9	3.36412409904491
ZNF16	6.06501274229348
POLR1B	4.79840663587667
SLC8A2	4.00646254251977
OLFM4	3.00556784332498
TACC1	4.59728320465349
SAMHD1	7.04394743732924
ATP13A2	5.23979414546961
KRT4	3.79868003321184
PAX6	3.36578190828044
SCG2	4.22785901087523
SLC17A6	3.60833266488856
TUBB4	4.65361134116985
PADI4	3.07012585917267
FMO3	3.20054095369213
NLK	3.30388732994367
POU4F3	3.24053544021965
MDM2	3.50769279263578
CAPNS1	9.77942029738622
SDF4	6.66883316711806
ITGBL1	3.60053658237719
TAP2	4.4338668335316
OR2C1	3.28815301050415
KLHDC3	6.21312513907159
EFHD2	5.74810171990398
GALR3	3.3795440228184
NBEA	4.90676951474148
ABCA6	3.25577749241747
ABBA-1	4.23525026121589
GNAI1	5.20813327377639
CLDN3	7.33201537125793
AKT2	3.53724696187533
EGFR	4.72020792922222
VPS4B	7.29110393611598
RBM16	6.53333377261595
GALNT6	5.58631754607071
ZDHHC3	5.33492942294031
