Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
TR2IT1	4.40245913441337
ARMCX3	7.83909659911976
NDE1	5.69866365856975
MAGEF1	7.36590989728318
ITGA10	3.9885100393302
ARHGDIB	7.1919709634603
FSHB	3.92519927824801
ANXA2	10.4798805249854
HLCS	4.15348430730669
MCF2L	6.18902581057968
AK1	6.60662875032059
FH	5.93943089389649
LGALS2	4.73977741712805
SYNPO2L	2.82216419336636
KIAA1045	3.51025252465073
C1orf183	4.85860208647274
MAGEA8	2.85856822600376
DGCR8	5.17697660903367
GSR	4.91604791341348
NEU2	3.3841406793023
HIST1H4B	3.18724604067236
CACNA1C	2.99102422290209
FAM20B	5.94253213415236
HES2	2.97074478521483
PDCD6	9.4799229457277
INTS7	4.09552869701362
AMPH	3.90138924128479
UCKL1	6.72142685424727
ASB4	3.09014764128124
C10orf97	5.16180202286584
ALDH1L1	4.35220793867714
CCL23	3.28064236250095
OBSL1	5.87136646905413
SLC12A7	6.89607533028734
THAP4	4.79241747616169
RBM4B	5.28188928762721
OGFRL1	4.2803390655908
KIAA0831	6.98827017883438
C12orf11	7.55802873300246
PPP1R15A	4.71815144508961
KIAA0240	5.5171722055092
CD1B	3.31732897278071
FCGR2A	4.77908239273127
MDC1	4.44468848705255
MAN1A1	3.34960803187540
KRT9	3.39235699462504
HTR1A	3.27787081581964
OCEL1	7.55884959705377
ATP11B	5.37482113362287
NLGN4X	8.13957742522096
FBXO34	7.71202555538476
ALOX12	3.24444266879292
RB1CC1	7.92252197795184
PCDH12	4.44333323891254
RPE	4.40406725843781
EIF4E	6.54910379836902
CSDC2	3.97435690642347
ABHD5	4.40792394334566
TMBIM1	6.97117953518511
PET112L	4.99143387477454
P2RXL1	3.1409008994597
F2RL2	3.29349367999009
TRMT1	5.97369097342837
IMPG2	5.04277352899854
LRRC32	5.43400458119326
BGLAP	3.49637740892535
HTR4	3.33819816002924
MRAS	5.08738368659303
TRAF6	5.06527428623594
AXL	5.50488516380814
ATP2C2	4.95054290452098
LMNB1	5.18380951264051
TELO2	4.88287734649504
PNPLA3	3.4960841715214
CSNK1E	6.32080123734994
SRP14	10.2389935970697
KCNQ4	3.24038054386465
PIK3C2B	6.21473413572884
C15orf15	7.55042376305322
TUBB2B	8.73984868352685
USP15	6.21152058416451
C12orf41	7.49711408017414
CEND1	3.66580886480483
RNF31	5.56571025698757
TCEAL2	4.53869479017674
PTGER2	4.12225358736754
UBN1	7.25815466799799
SLC5A7	3.22329544068637
SLC31A1	5.53740386137448
ADAM29	3.66106271720552
ST7L	4.25274698939290
GFOD1	5.42397734887331
CTNNA1	8.56572838335389
HRBL	4.00392017311976
CBX4	3.88633523649572
NTRK2	3.47824267350525
FOXN3	5.18014302438493
MFGE8	7.32036757494364
PFKFB2	3.88014372091925
TAS2R4	3.66478850524472
SH3TC2	3.33147627514556
IL10	3.58055381812973
PXMP4	6.75629294751585
