Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C03_443104
Composite Element REF	Signal
WDR74	5.37153086655577
FAM134A	7.12044546045532
PCNP	8.97382372927863
PURA	5.21243953601675
DNPEP	6.29167167616506
ERBB2	4.93739151193283
CREB1	5.40783074027635
NEO1	4.84214707332823
DDX3Y	3.31221352572468
RPS3A	12.7112590374517
MXRA7	10.1632244614502
LGALS3	10.0174761960108
GLT8D1	8.10777675167948
TMPRSS3	7.81386308015198
UPB1	3.45236140772029
LAT	4.20371123128835
CLDN14	3.78494380406907
DHX38	4.47600771142305
KCNA3	3.33556972517491
BTBD1	7.93491903195278
TARS2	4.63975150043359
SKIV2L2	7.65623280959506
ABCF1	7.28789185993572
CDT1	3.55858793822902
ZHX2	6.71599235376915
FCF1	4.54290374513052
LRRC49	4.2749381561433
GUCY1B2	3.6386659216948
CD28	3.21127459954427
SMARCA4	6.51973642105905
SEPT2	8.73050268455906
SOHLH2	3.51369374673463
MCOLN3	4.33995313783079
LRP8	4.01455210943825
TAGLN3	3.72629727161903
MASP2	3.57233396784462
GPATCH3	4.47090161024128
TTRAP	8.862831046898
AGL	7.25499426970902
NFE2L3	4.49877958836679
PSD4	4.14624966887173
PALMD	7.36018923280072
CCNB1IP1	8.20548737269701
TMEM43	6.99978130748489
OBFC1	6.05745420557154
STAT5B	4.31481319949977
C14orf79	4.45905495873644
ENPEP	5.43044412897756
SSB	7.92676904378834
SCT	3.2705230397102
TIMM23	5.79345586523344
SKI	3.81321185147731
SLC22A13	3.02232259940400
AKAP3	4.17781717598605
OAS2	3.92273265069842
KIAA0423	5.51118971494279
