Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
GPR161	3.86078597228612
RNF146	5.58314935262606
NKX3-1	3.88587386887753
CCNB2	8.39081865927446
ZNF10	3.55370521968419
WDR74	5.19810237267853
FAM134A	8.31336856120784
PCNP	8.68903522701719
PURA	5.38222082950691
DNPEP	7.50132528131705
ERBB2	5.47034472075848
CREB1	6.05020786926386
NEO1	7.73525748359513
DDX3Y	3.26761467862146
RPS3A	13.0251378721601
MXRA7	9.64264503373535
LGALS3	10.0890147869876
GLT8D1	7.60625405949837
TMPRSS3	6.9195384110693
UPB1	3.20152495465364
LAT	3.59042486405909
CLDN14	3.32687038111959
DHX38	4.18905900001665
KCNA3	3.25323147249116
BTBD1	9.57794438851526
TARS2	5.40841759882721
SKIV2L2	6.86883715207353
ABCF1	8.2518187000742
CDT1	3.06707405298587
ZHX2	8.66076195356286
FCF1	4.59967294013125
LRRC49	5.97217769206022
GUCY1B2	3.51217634172114
CD28	3.41215877822868
SMARCA4	5.841859530109
SEPT2	9.03311712882226
SOHLH2	3.29676682742887
MCOLN3	3.819087016492
LRP8	3.84565035977811
TAGLN3	3.60035940314664
MASP2	3.48261755804683
GPATCH3	4.1809247063185
TTRAP	8.54161669685844
AGL	5.96758239386642
NFE2L3	4.05241548019862
PSD4	3.83592549250837
PALMD	4.31118800662452
CCNB1IP1	7.26558471686451
TMEM43	7.91093271142508
OBFC1	7.35758999131032
STAT5B	4.28329780440621
C14orf79	4.24895383041719
ENPEP	4.19809202839228
SSB	8.21621017645527
SCT	3.13129885634066
TIMM23	7.39462021700763
SKI	3.63818421128568
SLC22A13	3.09057297942595
AKAP3	3.88540164714679
OAS2	4.42181174597495
KIAA0423	6.24039714069817
SEC61G	9.7400898509170
CAPN11	2.87563959467219
