Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
FBXO3	4.9257341607177
DVL1	5.48847234682305
CMKLR1	3.59140649494067
GPR157	3.88198397792210
TYMS	7.5083882853116
OR52A1	3.32684199791244
PEF1	6.34978591337028
ZNF750	3.15523700521044
ALG9	5.27446801856872
MCM5	6.19403976332836
SDK2	3.34565213187016
BAIAP3	4.34101734788701
RABGGTB	5.63238688974313
KCNK7	3.68010268664285
PTP4A3	5.84913780862374
ANKRD40	4.20897582557924
CALCOCO2	6.85647644201284
TMSL8	9.27305355471943
SNCA	4.62681991591182
ZNF551	3.5977392171708
HBQ1	3.75082544436899
ARHGAP26	4.69351588352805
GEMIN6	7.08998299707229
HRAS	4.88059478095142
KLRC4	2.97107241723475
BSDC1	5.75864593936841
DSC1	3.46204725981332
RNF43	5.3819744491356
NDUFAF1	4.81218612079402
MAP2K4	4.23177314113673
FOLR2	4.45808327015633
LYZL6	3.69756893401452
EPB41L3	3.96092471267166
TEKT2	6.90636244341423
CDKN2B	3.68424662962803
WSB1	5.55607062482307
ZNF480	3.21197694090344
MAP3K6	4.61125234891584
PROS1	6.65650636924375
PSMB8	7.7810224630352
HN1	7.81078950077386
MAS1	3.44188657390051
APOL1	4.44407195642627
CSHL1	3.51014541636597
ZBTB7C	3.38001814526337
AHCTF1	5.75872278508838
SAE2	10.2926375854653
ITGA2	4.26742665657199
AP2S1	6.31749431776694
P15RS	6.45522824897892
MME	3.95657494338071
VAT1	7.18251726159416
MAST4	5.92207376506521
TUFM	8.87926006422276
KRT33B	3.57219088545578
THEG	3.96770190676593
KCTD2	5.69411639298962
WDR26	7.67563147215923
MFI2	3.45008608365195
KRT34	3.39096700559393
NR4A3	3.67906392536324
SGSM3	4.3802371115878
ARSA	4.84117070925327
TOMM22	4.5467887427854
SOCS3	3.6883043152609
UNKL	4.52512492492815
POP4	8.98788737701336
BHLHB3	9.10386885516155
MALL	3.74094051414295
SOX15	3.47108661330751
CCNA2	5.37690925774335
PARK2	3.25149339037976
GPR124	4.17264267061631
TMEM132A	4.50461534959067
CGRRF1	4.14730260535446
RUVBL2	8.20605522872696
MCAT	5.48228137595368
WNT10B	3.96803902225304
ISCA1	5.79753359291578
RPAP1	4.59353439759608
C12orf48	4.85883880301447
RAI16	4.92394410218813
RPL27	8.98304299608752
EPN1	3.99582260469977
MAGI1	3.50022457168211
GBX2	3.29807879382888
SLC35A1	7.7162959537671
GAL	4.03933024516277
SLC14A2	4.01088164889013
RDH11	6.22464810129394
ZNF518	4.54041837244584
PCYT1B	3.77457595312206
AUH	5.87583538887328
EIF3H	9.36625096789176
KIF1B	5.92717175516401
MBD2	4.86161040756143
AMOTL2	7.48500243441769
C6orf120	4.90406401089713
PIGT	6.61680479785943
PSRC1	4.91218518019383
PLA2G10	3.86149313321555
ALAS1	5.63645679719891
FOXO1	4.77562806245914
C17orf62	7.71189063827675
KIF5C	5.0406522652014
DUSP10	5.82556965736726
CRLF3	6.1657123907686
CLCNKB	3.81348059843735
PSMA5	6.36423927512475
FARS2	4.77672206926182
CCDC28A	6.02030059350607
AMPD3	4.55800525285375
PIAS1	7.28775492715469
ADCYAP1R1	3.35412331433667
TMEM134	6.88409587998309
CDH20	3.13976866355474
FBXO7	7.38831283112852
FLJ14213	3.22137884186666
ZNF3	4.93009581807918
LRRFIP1	7.81606148329928
TMEM49	8.96931054160949
CNOT2	6.9128175384661
CBX2	2.97224782296202
ZC3H14	5.89845377567496
ALDH5A1	5.76019416007862
HNT	4.01610299441533
SERPINA4	3.49181004651895
FLJ20920	5.49405511658378
CRTAP	4.53364175353884
DDX50	6.2181507999414
STYXL1	6.78865441789395
TK2	4.80438787499027
BLVRB	8.54416994984082
STMN1	7.06181547912517
GUCA2A	3.23579571689185
DPP6	4.36889726139257
GALNT10	3.77598545828473
STK39	5.06979637366747
MMP24	4.71054592254815
CKS2	9.8665175315327
RHO	3.80467018414433
BANF1	9.2462330508453
CR1	3.09645764065318
RPS6KA2	4.83341380839409
HMBS	6.19635853807738
C20orf112	3.96547544231084
SLC25A24	5.01123374008786
MRPL22	8.01619670197945
SLC25A15	4.71670341016809
GADD45B	4.53673632786350
TDP1	4.28260107011662
ZNF287	3.90726395602424
DAAM2	4.16004297246996
C11orf57	5.12618991237376
RFK	6.82907107682908
ZFYVE9	4.73804060106831
TCTN3	5.57044696260912
STCH	5.02376907137074
LOC283871	4.47690487980334
NDUFB3	7.29436244945488
DEFB4	3.94785636799125
FPR1	3.62266461101833
FMNL1	3.9478448667985
SEPT7	9.84953071123471
PTCD2	4.64238315646554
GNLY	3.72576585731698
GRAMD1C	6.20045145216378
ZNF165	5.23358135325947
TR2IT1	4.12347669275013
ARMCX3	6.86185221439488
NDE1	7.05716561849761
MAGEF1	7.06148260671845
ITGA10	4.04649007567525
ARHGDIB	8.79457639934938
FSHB	3.78996917843516
ANXA2	10.8406893856350
HLCS	4.04427220456592
MCF2L	4.30583520446226
AK1	5.66275387499172
FH	6.54219092035022
LGALS2	3.81143457170709
SYNPO2L	2.79720089438046
KIAA1045	3.52077296357379
C1orf183	5.18955750400588
MAGEA8	3.23654067418669
DGCR8	5.16903041435713
GSR	4.76613548818602
NEU2	3.75878061997430
HIST1H4B	4.03561682906177
CACNA1C	3.36260550737578
FAM20B	6.38787744178448
HES2	3.18563132946806
PDCD6	7.73796604863923
INTS7	5.4468470475958
AMPH	3.95634823814517
UCKL1	4.84535863226766
ASB4	2.99566546562616
C10orf97	4.53402663725937
ALDH1L1	3.95140603024992
CCL23	3.34386396677823
OBSL1	4.9677162406136
SLC12A7	7.09471560182568
THAP4	5.60985618630221
RBM4B	5.44521115625941
OGFRL1	4.96706078313708
KIAA0831	5.04234588491576
C12orf11	7.23608253156648
PPP1R15A	4.51666884084328
KIAA0240	5.8154041122449
CD1B	3.39780817811623
FCGR2A	3.49782650413619
MDC1	5.56870069725579
MAN1A1	3.92710156917655
KRT9	3.47699508493559
HTR1A	3.45585470195886
OCEL1	6.02001719819812
ATP11B	5.072491160289
NLGN4X	5.92733960883214
