Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
ZNF16	5.83699023471191
POLR1B	5.1818101311332
SLC8A2	3.94625227015843
OLFM4	2.91205074206926
TACC1	5.05818681856053
SAMHD1	6.8552829244658
ATP13A2	6.04976065779784
KRT4	3.49813326921704
PAX6	3.39519691097886
SCG2	4.35829236352297
SLC17A6	3.59068241125473
TUBB4	4.19421249297302
PADI4	3.04233770150089
FMO3	3.34786733426628
NLK	4.00045069612213
POU4F3	3.18901313804778
MDM2	3.7411711073276
CAPNS1	9.90981079290924
SDF4	7.49671702648968
ITGBL1	4.2182313747122
TAP2	4.2859190267566
OR2C1	3.41524519637419
KLHDC3	7.59976645447542
EFHD2	5.872693289543
GALR3	3.59906585741788
NBEA	3.47918681822409
ABCA6	3.32626653480577
ABBA-1	3.84951114500182
GNAI1	4.22134078190019
CLDN3	7.72368010707583
AKT2	3.3357128239269
EGFR	4.84514180835633
VPS4B	8.078930304405
RBM16	8.38987917195875
GALNT6	5.85851197982684
ZDHHC3	5.31324717504985
SLC25A4	6.23903775171286
CYB5B	5.40103352450831
NDRG1	8.71069883011617
SESN1	5.4620468852581
GBE1	8.24404845734645
MRPL46	5.73959563067454
CLASP1	6.71689113840297
FARP2	4.74385299297459
ACOT11	3.99224755599968
LDHAL6B	3.09706347295547
MAPKAPK3	5.20936783658628
NCAM2	2.92609199656226
AFAP1	4.70581681677016
PRKD2	6.15474071116244
OR2H2	3.32939534777728
ZFP36L1	7.89848320696886
DZIP1	4.46006387591653
GPR161	4.12450378013116
RNF146	5.64443426585767
NKX3-1	3.98533557464683
CCNB2	8.2183351542998
ZNF10	4.01669404949815
WDR74	5.20329691666375
FAM134A	7.79800796629992
PCNP	9.0942736010469
PURA	5.09883640610223
DNPEP	7.58676398299552
ERBB2	5.55541085553289
CREB1	6.31747872259683
NEO1	6.69082072164597
DDX3Y	3.29768386003165
RPS3A	12.5253850759623
MXRA7	10.3294628259823
LGALS3	8.79173135817414
GLT8D1	7.17600022497917
TMPRSS3	6.27355730437966
UPB1	3.19278267899867
LAT	3.63444383021534
CLDN14	3.54113183696647
DHX38	4.74636946883696
KCNA3	3.20101082044976
BTBD1	8.02795289106174
TARS2	5.37253896698309
SKIV2L2	8.41977120047531
ABCF1	8.5900777022071
CDT1	3.12603484653669
ZHX2	7.37630162125978
FCF1	4.9600622255772
LRRC49	4.24491877324657
GUCY1B2	3.35558270984265
CD28	3.24481006689478
SMARCA4	7.65233186499694
SEPT2	9.54420946029493
SOHLH2	4.20135040591675
MCOLN3	4.55212084731888
LRP8	6.9043226054804
TAGLN3	3.93394120312477
MASP2	3.51736807122104
GPATCH3	4.94950561663441
TTRAP	8.56206641972604
AGL	6.99757205684443
NFE2L3	5.10737497540158
PSD4	4.31673865529917
PALMD	4.26801478684558
CCNB1IP1	9.2463702121463
TMEM43	6.68532915381217
OBFC1	5.31928043610202
STAT5B	4.51883237602028
C14orf79	3.93339818868295
ENPEP	4.64499539323338
SSB	8.22883512735747
SCT	2.86163653033052
TIMM23	6.43896820579485
SKI	3.57696415873916
SLC22A13	3.34398537860832
AKAP3	3.6262180238712
OAS2	6.07998356808294
KIAA0423	5.70513581868903
SEC61G	10.2604578701434
CAPN11	3.03459765571039
TMEM50B	6.64087674228892
