Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
FOXO1	6.7308873927921
C17orf62	7.67233534165475
KIF5C	5.8128209731236
DUSP10	4.24738677107676
CRLF3	6.45376370864314
CLCNKB	3.53247958956582
PSMA5	9.02823506925487
FARS2	5.18665290023564
CCDC28A	5.18610577413214
AMPD3	4.51253769878510
PIAS1	7.54429732294846
ADCYAP1R1	3.29270792817364
TMEM134	6.4927437679059
CDH20	3.01920401446737
FBXO7	7.6417372390745
FLJ14213	3.45729156862883
ZNF3	5.88919302153684
LRRFIP1	7.47070839257897
TMEM49	8.55179989235039
CNOT2	7.45269357546057
CBX2	2.93496967813794
ZC3H14	7.17948454116127
ALDH5A1	5.40157680491664
HNT	3.24765144582539
SERPINA4	3.31652046937503
FLJ20920	5.15520410958119
CRTAP	4.84180118935624
DDX50	7.9954450798592
STYXL1	6.91901687071907
TK2	4.51006257406542
BLVRB	6.38136286921133
STMN1	6.37781963726812
GUCA2A	3.33050744576606
DPP6	3.57947603937334
GALNT10	3.92738211178084
STK39	4.24408069525469
MMP24	4.38810034390059
CKS2	9.95833242807434
RHO	3.65827686873336
BANF1	9.54468986801884
CR1	3.09006314027081
RPS6KA2	5.17959585306962
HMBS	6.38130358511013
C20orf112	3.68334504761109
SLC25A24	6.92504820391378
MRPL22	8.0430615036608
SLC25A15	5.1113018985284
GADD45B	4.84568576887979
TDP1	6.57634490503963
ZNF287	3.54744093379492
DAAM2	4.31366153452103
C11orf57	6.30743361170047
RFK	7.53268587128414
ZFYVE9	3.93296982750405
TCTN3	7.00209408806898
STCH	4.73426907067997
LOC283871	3.6429498179643
NDUFB3	7.14283095366694
DEFB4	3.62483995674677
FPR1	4.31538398823086
FMNL1	4.38411524569808
SEPT7	9.86494225679654
PTCD2	4.22753603797578
GNLY	5.25745992522804
GRAMD1C	4.14902560027306
ZNF165	4.45252668424110
TR2IT1	3.95155090148557
ARMCX3	6.64833750201141
NDE1	5.28598913357719
MAGEF1	7.13722475984698
ITGA10	3.5753672809835
ARHGDIB	8.86150212553272
FSHB	3.71736296717987
ANXA2	11.5651038220249
HLCS	3.83831104063798
MCF2L	3.93729182467286
AK1	4.84205142383712
FH	6.46738415158632
LGALS2	3.96482768901802
SYNPO2L	2.66913052248122
KIAA1045	3.39276719375920
C1orf183	4.51039983083572
MAGEA8	3.03419798086166
DGCR8	4.97150338482214
GSR	5.45670107872825
NEU2	3.37201958954807
HIST1H4B	3.48200693125
CACNA1C	3.22807692899455
FAM20B	6.1177103102101
HES2	3.12301783388816
PDCD6	9.55877615989843
INTS7	5.71754056916741
AMPH	3.36633128656270
UCKL1	6.55787803286642
ASB4	3.09679830185614
